"name";"slug";"id";"nMembers";"members";"repo_name";"url"
"BLACKJACK";"blackjack";4610276;2;"albertolopezramos, JesusPachecoAlonso";"twIA_2021-blackjack";"https://github.com/aigora/twIA_2021-blackjack"
"BrazoROBOT-";"brazorobot";4611416;5;"davidpintollorente, JavierLerinAlonso, AlvaroLVillarroel, dinner123, tobiaskos";"twIA_2021-brazorobot";"https://github.com/aigora/twIA_2021-brazorobot"
"Caja_fuerte";"caja_fuerte";4627201;4;"danieldelacruzredondo, cbravosa, David2Santos, raquelclementebastante";"twIA_2021-caja_fuerte";"https://github.com/aigora/twIA_2021-caja_fuerte"
"CarMap_Chikito";"carmap_chikito";4591954;6;"amelie-nader-prieto, luc-39, Fer014, echedey-luis-alvarez, luisrubio27, Celia-t22";"twIA_2021-carmap_chikito";"https://github.com/aigora/twIA_2021-carmap_chikito"
"Conecta_4";"conecta_4";4593362;6;"eduardo-luque, lucia-phermosa, Gabriel-Rpascual, ismael45, JaviNico, Iris281";"twIA_2021-conecta_4";"https://github.com/aigora/twIA_2021-conecta_4"
"Fabrica_de_colorines";"fabrica_de_colorines";4627859;5;"andrianadovhanych, elenadiezdeantonio, SergioGH-byte, SantiagoGarCubCarr, remigg";"twIA_2021-fabrica_de_colorines";"https://github.com/aigora/twIA_2021-fabrica_de_colorines"
"grupo banco";"grupo-banco";4611270;6;"jaime0010, Pedrooo8, AnaArroyo55130, Jorge-88, victorbarreralopez, pedrogallardolozano";"twIA_2021-grupo-banco";"https://github.com/aigora/twIA_2021-grupo-banco"
"Hundir_Laflota";"hundir_laflota";4607070;4;"Raul-Granadero, diegogzabalza, manuelguti99, mariogsc";"twIA_2021-hundir_laflota";"https://github.com/aigora/twIA_2021-hundir_laflota"
"info";"info";4625552;4;"loarte, marcossssss, nataliaaaajm, mariacdl";"twIA_2021-info";"https://github.com/aigora/twIA_2021-info"
"Jardín_Automatizado";"jardin_automatizado";4606759;4;"LuisVicenteGordon, javiermonrio, Franxcus, JaimeTomeR";"twIA_2021-jardin_automatizado";"https://github.com/aigora/twIA_2021-jardin_automatizado"
"Juego del Pong";"juego-del-pong";4638645;3;"SergioCantalejoVillasante, AlbertoCL22, javieralonso1";"twIA_2021-juego-del-pong";"https://github.com/aigora/twIA_2021-juego-del-pong"
"Lector_de_textos";"lector_de_textos";4626245;5;"monicasacristans, Cnbados55380, alejandro55393, Pabloroosario, almumurillo";"twIA_2021-lector_de_textos";"https://github.com/aigora/twIA_2021-lector_de_textos"
"Localizador ultrasonidos";"localizador-ultrasonidos";4636072;4;"j-riveiro, j-gasco, Srsanz, antoniogmontes";"twIA_2021-localizador-ultrasonidos";"https://github.com/aigora/twIA_2021-localizador-ultrasonidos"
"Multimetro_digital";"multimetro_digital";4607162;6;"amayore, r-roca, inesrico, gema-upm, roberto53444-lang, iriatourino01";"twIA_2021-multimetro_digital";"https://github.com/aigora/twIA_2021-multimetro_digital"
"Organizador_Hospital";"organizador_hospital";4610700;5;"jqviy, Avalcarcelg, JA1Me23, ASB02, pablovanden";"twIA_2021-organizador_hospital";"https://github.com/aigora/twIA_2021-organizador_hospital"
"PARKING";"parking";4606919;3;"LauraHCampos, rodrimarvar, gabrieltur";"twIA_2021-parking";"https://github.com/aigora/twIA_2021-parking"
"PARKING_PÚBLICO";"parking_publico";4601118;3;"idebenitog, victoraragonesp, MMPablo";"twIA_2021-parking_publico";"https://github.com/aigora/twIA_2021-parking_publico"
"piscina_automatizada";"piscina_automatizada";4587477;5;"nataliamiguel, Jimenalopez02, marta-sferrer, aitana-martinez, carolplaza";"twIA_2021-piscina_automatizada";"https://github.com/aigora/twIA_2021-piscina_automatizada"
"Plotter - Lector";"plotter-lector";4597810;5;"Engarto, Claudia1130, QINGYUN-XU, Dianaperucho, rgladron";"twIA_2021-plotter-lector";"https://github.com/aigora/twIA_2021-plotter-lector"
"Proyecto_trafico";"proyecto_trafico-1";4610498;5;"sofiatoledo, TianYaoLin, almuperezzz, PatriciaPlazaRamos, laurasedanomolero";"twIA_2021-proyecto_trafico-1";"https://github.com/aigora/twIA_2021-proyecto_trafico-1"
"Reproductor_MP3";"reproductor_mp3";4606626;6;"mloboo, zeqilin, arguor, andresrosouto, VALERIRAMIREZ, amba191";"twIA_2021-reproductor_mp3";"https://github.com/aigora/twIA_2021-reproductor_mp3"
"Rol-Unity-C++";"rol-unity-c";4602536;6;"Opherox, pmartinezconde, carlosmendozacarpintero, yikaizhan, umartinezr, DiegoRPeinado";"twIA_2021-rol-unity-c";"https://github.com/aigora/twIA_2021-rol-unity-c"
"Seguidor de líneas de colores";"seguidor-de-lineas-de-colores";4606387;4;"Alvarorico, javierrobi, CarlosMiguelMartin, PabloSanchz";"twIA_2021-seguidor-de-lineas-de-colores";"https://github.com/aigora/twIA_2021-seguidor-de-lineas-de-colores"
"Sistema de mezcla de líquidos";"sistema-de-mezcla-de-liquidos";4632919;4;"alejandro-bonilla, nuria0509, alvarogomez29, pedro-alvarez-monteagudo";"twIA_2021-sistema-de-mezcla-de-liquidos";"https://github.com/aigora/twIA_2021-sistema-de-mezcla-de-liquidos"
"SPACE_UPM";"space_upm";4628842;5;"Crisboned, Ikercasti, Lucas-Go-Vel, Garrudo-404, daniel-fuertes";"twIA_2021-space_upm";"https://github.com/aigora/twIA_2021-space_upm"
"Vehiculo_autonomo";"vehiculo_autonomo";4617889;5;"Gallego1502, Eugenio-Fernandez, juanpablodemiguel, ivanguerrero2002, OmarFL";"twIA_2021-vehiculo_autonomo";"https://github.com/aigora/twIA_2021-vehiculo_autonomo"
