"name";"slug";"id";"nMembers";"members";"repo_name";"url"
"21";"21";4598134;4;"estebanhenriquez, arturomm, AdriUpm, samuelpolo59";"twIE_2021-21";"https://github.com/aigora/twIE_2021-21"
"Arcade_Retro_2021";"arcade_retro_2021";4601425;2;"Alopez-hermida, jesuppedia";"twIE_2021-arcade_retro_2021";"https://github.com/aigora/twIE_2021-arcade_retro_2021"
"CHKR_S.L.";"chkr_s-l";4588734;3;"Vegely, JuanNicolasJimenez, dcblasco";"twIE_2021-chkr_s-l";"https://github.com/aigora/twIE_2021-chkr_s-l"
"Code_Arcade";"code_arcade";4613114;3;"nicoascastrogarcia, oscararrigo, xrubenruizx";"twIE_2021-code_arcade";"https://github.com/aigora/twIE_2021-code_arcade"
"FruityLoopE";"fruityloope";4615558;4;"Dionicaballero, osamabouatman, alvarocamposupm, MihailDimitro";"twIE_2021-fruityloope";"https://github.com/aigora/twIE_2021-fruityloope"
"ingenieritas 0.2";"ingenieritas-0-2";4601285;4;"luciaalvarezdiaz, reginagomez, AliciaFernandezS, luciaalcorada";"twIE_2021-ingenieritas-0-2";"https://github.com/aigora/twIE_2021-ingenieritas-0-2"
"J_A_Y_";"j_a_y_";4613529;3;"Yuan-Qian-XD, JoseUmiri, angiguoyin";"twIE_2021-j_a_y_";"https://github.com/aigora/twIE_2021-j_a_y_"
"LABERINTO";"laberinto";4614601;4;"abrahampumarada, Luispdelmazo, Jorgebpinedo, LuisMiguelMuro";"twIE_2021-laberinto";"https://github.com/aigora/twIE_2021-laberinto"
"Matpack";"matpack";4615036;3;"Luislagu, alejandrobeltransuarez1, gonzalosta";"twIE_2021-matpack";"https://github.com/aigora/twIE_2021-matpack"
"Mercado_ETSIDI";"mercado_etsidi";4614984;4;"diegomg99, hectorgutierrezv, joseenriqueespinoza99, InesMelendez";"twIE_2021-mercado_etsidi";"https://github.com/aigora/twIE_2021-mercado_etsidi"
"POKER";"poker";4611706;4;"PabloBasoaDomingo, DenizAlcobendas, aamontoya, sergioariasblanco";"twIE_2021-poker";"https://github.com/aigora/twIE_2021-poker"
"Proyecto Buque Insignia";"proyecto-buque-insignia";4602270;4;"AdriTeixeHax, matiaspolo, JorgeBachiller, danielsotoaguilar";"twIE_2021-proyecto-buque-insignia";"https://github.com/aigora/twIE_2021-proyecto-buque-insignia"
"Proyecto Mijas";"proyecto-mijas";4617796;2;"DiegoBastida, DiegoFernandesAlves";"twIE_2021-proyecto-mijas";"https://github.com/aigora/twIE_2021-proyecto-mijas"
"Proyecto Scape Room";"proyecto-scape-room";4614691;4;"OscarSaez02, Carlos-ramirez02, marta-garrido-algaba, jorge-sanchez-serafin";"twIE_2021-proyecto-scape-room";"https://github.com/aigora/twIE_2021-proyecto-scape-room"
"Proyecto Trivial";"proyecto-trivial";4598318;2;"Alejandroillera, truji12";"twIE_2021-proyecto-trivial";"https://github.com/aigora/twIE_2021-proyecto-trivial"
"PROYECTO.dellping";"proyecto-dellping";4611115;4;"lucasceezar, elenacasellas, lodelolmo, danifdeezz";"twIE_2021-proyecto-dellping";"https://github.com/aigora/twIE_2021-proyecto-dellping"
"Proyecto_ASFJ";"proyecto_asfj";4606875;4;"juliamgy, Azuazuazu, FabioLebron, Sergio-MJ";"twIE_2021-proyecto_asfj";"https://github.com/aigora/twIE_2021-proyecto_asfj"
"Proyecto_atrapaDOSmillones";"proyecto_atrapadosmillones";4617659;3;"gonzalopeinado, Davidd02, MiguelGV22";"twIE_2021-proyecto_atrapadosmillones";"https://github.com/aigora/twIE_2021-proyecto_atrapadosmillones"
"Proyecto_Dado_Mentiroso_2021";"proyecto_dado_mentiroso_2021";4607180;3;"Christian7600, rubencasstro, SrGnar";"twIE_2021-proyecto_dado_mentiroso_2021";"https://github.com/aigora/twIE_2021-proyecto_dado_mentiroso_2021"
"Proyecto_Web_Cuestionarios";"proyecto_web_cuestionarios";4615378;4;"Nachofdez2708, inigoazqueta, Javierdelahoz4, Edufdezg";"twIE_2021-proyecto_web_cuestionarios";"https://github.com/aigora/twIE_2021-proyecto_web_cuestionarios"
"Proyecto_X_S.A.";"proyecto_x_s-a";4581067;3;"Marco-Antonio-Pinto, Marpiki11, Alejandro-Montero-Porras";"twIE_2021-proyecto_x_s-a";"https://github.com/aigora/twIE_2021-proyecto_x_s-a"
"Ruleta 2021";"ruleta-2021";4618087;3;"jsdefrancisco, jesusalejandropalomino, Saul-Marcos";"twIE_2021-ruleta-2021";"https://github.com/aigora/twIE_2021-ruleta-2021"
