"name";"id";"slug";"nMembers";"members"
"A104";3128199;"a104";55;"oscarperpinan, raquelcedazo, Juliauru, EyezPT, MPerezMateo, magustoni, CeciliaGarciaC, Irenealvarezperez, maasensio, sdevargas, RaquelClementeB, jjusdado, davidherguetasoto, scantonn, racapocasale, vhgumiel, rodrigobatalfernandez, jcarramolino, nborlaf, ClaudiuCretu, rgfranco2, eazofra, sguardia6, danieldelacruzredondo, albertoescancianocabaneros, guillermouberomero, luistorresdelnuevo, jorgefernandezjimenez11, ADRIANGDENIA, jorgegpamo1299, gbarrosof, bavellan, Franciscomora, idebenitog, pedrodiazlopez, barbaragroa, victoraragonesp, dtertre59, victorcarpiog, mloboo, egibert1, juangperozo, antoniocasadohierro, PabloClaramonte, Markepelbaumg, vdelcampo, amsamuel54, Diegocaparm, DanielHeckstall-Smith, Marquitosss, bggarcia, arguor, AlvaroChillari, micaelacristina, majidbenk"
"A109";3128204;"a109";66;"oscarperpinan, raquelcedazo, Juliauru, MPerezMateo, joaquinggi, fpadilla00, bmiguelez, alejandrodelmoral, sararodriguezfernandez, martinrteran, mecopedro, marcoslozanorodriguez, mlunad88, stellamoralsalguero, oscarrudek, victorrinconcalvo, RobertoMartinHurtado, mlsalto, davidmartinezprieto, miriamortegabustos, jacobsanchezmoreira, pablonhernandez, dzhou1999, angelsanzdiaz, teresaramirezharo, victorramosperez, weizheng13, azhou12, jreinosop99, fernandomarinraez, mlotruglio, lismunozfortea, ignacioortegap, guillermomlechuga, jlarjonilla, ssaetaa, mvinader, danielmdomingo, susanarincon, jaimepalominovaquero, nataliasanchezsanchez, rpleiter, danielsanchezg, amayore, RUANNN96, victorrodriguezsanchez, alvaroromerorodriguez, luispgonzalez, apmora, albertoperezarnal, zhanyaolin, tsvillaluenga, imayorals, jorge1414, danielparrillam, sergiosanchezch, javiermartinsanz, davidpatrizi, braisrodriguezmarigil, NLA45, Jaimemunoz07, sergiio99, JorgeOrtegaMateo, merodio1, diegomanzanogarijo5, dlera"
"abel-diego-carlos";3140352;"abel-diego-carlos";3;"carlosmartinezramos, abelbague, dhsanchez"
"Adri&Ubeda";3153104;"adri-ubeda";1;"guillermouberomero"
"Adri-Jorge-Abel";3140285;"adri-jorge-abel";3;"jorgeespigutierrez, RedBaronUPM, adrianalvaradolago"
"Adrian&Jorge";3149167;"adrian-jorge";2;"jorgefernandezjimenez11, ADRIANGDENIA"
"Agencia de viajes";3140407;"agencia-de-viajes";3;"WasimaSimouh, ajnoelia, alepau"
"Agenda electrónica";3139347;"agenda-electronica";3;"ademaeseneire, mariafermoselalvarez, mvaliente24"
"Alarmas Masther";3153108;"alarmas-masther";1;"Marquitosss"
"Alberto_Viktor";3140700;"alberto_viktor";1;"albertosanchezperez"
"Alejandro.Hugo.Jacob";3142981;"alejandro-hugo-jacob";3;"alejandrodelmoral, jacobsanchezmoreira, hugolopezjanquin"
"Alejandro.Ignacio.Javier";3147233;"alejandro-ignacio-javier";3;"jreinosop99, ignaciosaparicio, amayore"
"alvaro-sergio";3140257;"alvaro-sergio";2;"sergiocaja, alvaroespinosarico"
"Ambulatorio";3140266;"ambulatorio";1;"anasanchezrela"
"Arantxa_Alvaro_Tomas";3140703;"arantxa_alvaro_tomas";3;"tllanomiro, mateos14, arantxagonzalez"
"ARCE-NACHO-VICTOR";3140290;"arce-nacho-victor";3;"victorcaparros98, angelluisarcecarrasco96, idorado2019"
"Arguisanos";3139063;"arguisanos";3;"ivanherranz, EnriqueTeja, KevinVejaranoMontesinos"
"Ascensor";3149375;"ascensor";1;"marialamora"
"Baloncesto";3143370;"baloncesto";1;"Jtauroni"
"BannerCM";3149275;"bannercm";1;"cmontejano"
"Banners Dinámicos V.2";3143379;"banners-dinamicos-v-2";2;"AlonsoPercu, EnriqueGalanMoreno"
"Becarios";3106678;"becarios";4;"oscarperpinan, raquelcedazo, Juliauru, MPerezMateo"
"Becas MEL";3140445;"becas-mel";3;"erp6, marinarx20, lauraubeda"
"BISHA3P2";3142951;"bisha3p2";3;"sararodriguezfernandez, marcoslozanorodriguez, danielsanchezg"
"BLIBIOTECA MARIA MOLINER";3138774;"blibioteca-maria-moliner";3;"alvaromitachungara, gmalvarez, Guisella"
"Bruno.Jaime";3143035;"bruno-jaime";2;"bmiguelez, jaimepc00"
"BurgoNet";3142342;"burgonet";3;"SamuelHornsbyAltares, javierlopez1, marinapolov"
"C--";3142243;"c";2;"angelsanzdiaz, albertoperezarnal"
"cafranpa";3140197;"cafranpa";3;"fdelgadol, pabloblazquezgervas, cbestevez"
"cajero automatico";3140350;"cajero-automatico";2;"AntCos, almudenacostes"
"CajeroEtsidi";3137551;"cajeroetsidi";3;"marcoscalderon99, rocioberzalcabetas, mdegano"
"carlos-juanmi-vicen";3139113;"carlos-juanmi-vicen";3;"josevicenteguillenmainez, jmcabornero, carlosmurillopagador"
"CarpioyJuan";3153101;"carpioyjuan";1;"victorcarpiog"
"Carrera ciclista";3143440;"carrera-ciclista";3;"alejandromartinherreros, juliansanchezram, alexandramavila"
"Cartelera de cine";3141200;"cartelera-de-cine";3;"adelapv, plantero, IdoyaZV"
"Central_ParKing";3150363;"central_parking";1;"Diegome"
"Cesta Online";3144889;"cesta-online";3;"Diego54632, 8alvarogarcia, mariogarridomontero"
"Christian-Andres-Miguel";3140256;"christian-andres-miguel";3;"miguelagonzalez, ccabellos, adiegor"
"christian-carlos-magda";3140218;"christian-carlos-magda";3;"christianclementedefrutos, Cfzolle, MAGDALENAUPM"
"cinesbartolo";3140217;"cinesbartolo";3;"diegobartolome, luisdelafuentemartin, jibrea"
"CLIMT 3000";3142962;"climt-3000";3;"RobertoMartinHurtado, ignacioortegap, javiermartinsanz"
"CLININCA";3138515;"clininca";3;"MinyaChen0711, Rosa1Silverio, yslopez"
"Coches Benavides .SL";3138506;"coches-benavides-sl";3;"hriverar, mrodrigog, jbenavidesm"
"Codigo_Morse";3142495;"codigo_morse";2;"stellamoralsalguero, mvinader"
"COLACADO 2.0";3153112;"colacado-2-0";1;"JPioGA"
"Colacado S.L.";3153089;"colacado-s-l";1;"JPioGA"
"Comando Banner Sistemas UNIX V.2";3143317;"comando-banner-sistemas-unix-v-2";1;"EnriqueGalanMoreno"
"Comparador de propiedades";3140454;"comparador-de-propiedades";3;"JuanjoLR, davidmolano25, MrHook6"
"Cris&David";3140819;"cris-david";2;"EyezPT, dtertre59"
"Cruce a full de semaforos";3153085;"cruce-a-full-de-semaforos";1;"Pgbofias"
"Cruce con semaforos";3153114;"cruce-con-semaforos";1;"Pgbofias"
"dani,miguel,pedro";3143042;"dani-miguel-pedro";2;"mecopedro, danielparrillam"
"David.Alvaro.Ignacio";3143046;"david-alvaro-ignacio";2;"imayorals, davidpatrizi"
"Diego.LauraL.Tomas";3142983;"diego-laural-tomas";1;"lauralopezdemenesescalvo"
"Distribución de alumnos en examen";3144369;"distribucion-de-alumnos-en-examen";3;"ireviejo, mariadelafuentefernandez, Pauladeantoniogrondona"
"DPM";3141447;"dpm";3;"weizheng13, azhou12, zhanyaolin"
"dreamteam";3140245;"dreamteam";3;"raulcarrero, RodrigoMarquezB, marianojimenezbohorquez"
