"name";"id";"repo_name";"slug";"nMembers";"members"
"A104";3128199;"fundamentos_c";"a104";54;"oscarperpinan, raquelcedazo, Juliauru, EyezPT, MPerezMateo, magustoni, CeciliaGarciaC, Irenealvarezperez, maasensio, sdevargas, RaquelClementeB, jjusdado, davidherguetasoto, scantonn, racapocasale, vhgumiel, rodrigobatalfernandez, jcarramolino, nborlaf, ClaudiuCretu, rgfranco2, eazofra, sguardia6, danieldelacruzredondo, albertoescancianocabaneros, guillermouberomero, luistorresdelnuevo, jorgefernandezjimenez11, ADRIANGDENIA, jorgegpamo1299, gbarrosof, bavellan, Franciscomora, idebenitog, pedrodiazlopez, barbaragroa, victoraragonesp, dtertre59, victorcarpiog, mloboo, egibert1, juangperozo, antoniocasadohierro, PabloClaramonte, Markepelbaumg, vdelcampo, amsamuel54, Diegocaparm, DanielHeckstall-Smith, Marquitosss, bggarcia, arguor, AlvaroChillari, micaelacristina"
"A104";3128199;"sentencias_control";"a104";54;"oscarperpinan, raquelcedazo, Juliauru, EyezPT, MPerezMateo, magustoni, CeciliaGarciaC, Irenealvarezperez, maasensio, sdevargas, RaquelClementeB, jjusdado, davidherguetasoto, scantonn, racapocasale, vhgumiel, rodrigobatalfernandez, jcarramolino, nborlaf, ClaudiuCretu, rgfranco2, eazofra, sguardia6, danieldelacruzredondo, albertoescancianocabaneros, guillermouberomero, luistorresdelnuevo, jorgefernandezjimenez11, ADRIANGDENIA, jorgegpamo1299, gbarrosof, bavellan, Franciscomora, idebenitog, pedrodiazlopez, barbaragroa, victoraragonesp, dtertre59, victorcarpiog, mloboo, egibert1, juangperozo, antoniocasadohierro, PabloClaramonte, Markepelbaumg, vdelcampo, amsamuel54, Diegocaparm, DanielHeckstall-Smith, Marquitosss, bggarcia, arguor, AlvaroChillari, micaelacristina"
"A104";3128199;"tipos_avanzados_datos";"a104";54;"oscarperpinan, raquelcedazo, Juliauru, EyezPT, MPerezMateo, magustoni, CeciliaGarciaC, Irenealvarezperez, maasensio, sdevargas, RaquelClementeB, jjusdado, davidherguetasoto, scantonn, racapocasale, vhgumiel, rodrigobatalfernandez, jcarramolino, nborlaf, ClaudiuCretu, rgfranco2, eazofra, sguardia6, danieldelacruzredondo, albertoescancianocabaneros, guillermouberomero, luistorresdelnuevo, jorgefernandezjimenez11, ADRIANGDENIA, jorgegpamo1299, gbarrosof, bavellan, Franciscomora, idebenitog, pedrodiazlopez, barbaragroa, victoraragonesp, dtertre59, victorcarpiog, mloboo, egibert1, juangperozo, antoniocasadohierro, PabloClaramonte, Markepelbaumg, vdelcampo, amsamuel54, Diegocaparm, DanielHeckstall-Smith, Marquitosss, bggarcia, arguor, AlvaroChillari, micaelacristina"
"A104";3128199;"punteros";"a104";54;"oscarperpinan, raquelcedazo, Juliauru, EyezPT, MPerezMateo, magustoni, CeciliaGarciaC, Irenealvarezperez, maasensio, sdevargas, RaquelClementeB, jjusdado, davidherguetasoto, scantonn, racapocasale, vhgumiel, rodrigobatalfernandez, jcarramolino, nborlaf, ClaudiuCretu, rgfranco2, eazofra, sguardia6, danieldelacruzredondo, albertoescancianocabaneros, guillermouberomero, luistorresdelnuevo, jorgefernandezjimenez11, ADRIANGDENIA, jorgegpamo1299, gbarrosof, bavellan, Franciscomora, idebenitog, pedrodiazlopez, barbaragroa, victoraragonesp, dtertre59, victorcarpiog, mloboo, egibert1, juangperozo, antoniocasadohierro, PabloClaramonte, Markepelbaumg, vdelcampo, amsamuel54, Diegocaparm, DanielHeckstall-Smith, Marquitosss, bggarcia, arguor, AlvaroChillari, micaelacristina"
"A104";3128199;"funciones";"a104";54;"oscarperpinan, raquelcedazo, Juliauru, EyezPT, MPerezMateo, magustoni, CeciliaGarciaC, Irenealvarezperez, maasensio, sdevargas, RaquelClementeB, jjusdado, davidherguetasoto, scantonn, racapocasale, vhgumiel, rodrigobatalfernandez, jcarramolino, nborlaf, ClaudiuCretu, rgfranco2, eazofra, sguardia6, danieldelacruzredondo, albertoescancianocabaneros, guillermouberomero, luistorresdelnuevo, jorgefernandezjimenez11, ADRIANGDENIA, jorgegpamo1299, gbarrosof, bavellan, Franciscomora, idebenitog, pedrodiazlopez, barbaragroa, victoraragonesp, dtertre59, victorcarpiog, mloboo, egibert1, juangperozo, antoniocasadohierro, PabloClaramonte, Markepelbaumg, vdelcampo, amsamuel54, Diegocaparm, DanielHeckstall-Smith, Marquitosss, bggarcia, arguor, AlvaroChillari, micaelacristina"
"A104";3128199;"ficheros";"a104";54;"oscarperpinan, raquelcedazo, Juliauru, EyezPT, MPerezMateo, magustoni, CeciliaGarciaC, Irenealvarezperez, maasensio, sdevargas, RaquelClementeB, jjusdado, davidherguetasoto, scantonn, racapocasale, vhgumiel, rodrigobatalfernandez, jcarramolino, nborlaf, ClaudiuCretu, rgfranco2, eazofra, sguardia6, danieldelacruzredondo, albertoescancianocabaneros, guillermouberomero, luistorresdelnuevo, jorgefernandezjimenez11, ADRIANGDENIA, jorgegpamo1299, gbarrosof, bavellan, Franciscomora, idebenitog, pedrodiazlopez, barbaragroa, victoraragonesp, dtertre59, victorcarpiog, mloboo, egibert1, juangperozo, antoniocasadohierro, PabloClaramonte, Markepelbaumg, vdelcampo, amsamuel54, Diegocaparm, DanielHeckstall-Smith, Marquitosss, bggarcia, arguor, AlvaroChillari, micaelacristina"
"A109";3128204;"fundamentos_c";"a109";66;"oscarperpinan, raquelcedazo, Juliauru, MPerezMateo, joaquinggi, fpadilla00, bmiguelez, alejandrodelmoral, sararodriguezfernandez, martinrteran, mecopedro, marcoslozanorodriguez, mlunad88, stellamoralsalguero, oscarrudek, victorrinconcalvo, RobertoMartinHurtado, mlsalto, davidmartinezprieto, miriamortegabustos, jacobsanchezmoreira, pablonhernandez, dzhou1999, angelsanzdiaz, teresaramirezharo, victorramosperez, weizheng13, azhou12, jreinosop99, fernandomarinraez, mlotruglio, lismunozfortea, ignacioortegap, guillermomlechuga, jlarjonilla, ssaetaa, mvinader, danielmdomingo, susanarincon, jaimepalominovaquero, nataliasanchezsanchez, rpleiter, danielsanchezg, amayore, RUANNN96, victorrodriguezsanchez, alvaroromerorodriguez, luispgonzalez, apmora, albertoperezarnal, zhanyaolin, tsvillaluenga, imayorals, jorge1414, danielparrillam, sergiosanchezch, javiermartinsanz, davidpatrizi, braisrodriguezmarigil, NLA45, Jaimemunoz07, sergiio99, JorgeOrtegaMateo, merodio1, diegomanzanogarijo5, dlera"
"A109";3128204;"sentencias_control";"a109";66;"oscarperpinan, raquelcedazo, Juliauru, MPerezMateo, joaquinggi, fpadilla00, bmiguelez, alejandrodelmoral, sararodriguezfernandez, martinrteran, mecopedro, marcoslozanorodriguez, mlunad88, stellamoralsalguero, oscarrudek, victorrinconcalvo, RobertoMartinHurtado, mlsalto, davidmartinezprieto, miriamortegabustos, jacobsanchezmoreira, pablonhernandez, dzhou1999, angelsanzdiaz, teresaramirezharo, victorramosperez, weizheng13, azhou12, jreinosop99, fernandomarinraez, mlotruglio, lismunozfortea, ignacioortegap, guillermomlechuga, jlarjonilla, ssaetaa, mvinader, danielmdomingo, susanarincon, jaimepalominovaquero, nataliasanchezsanchez, rpleiter, danielsanchezg, amayore, RUANNN96, victorrodriguezsanchez, alvaroromerorodriguez, luispgonzalez, apmora, albertoperezarnal, zhanyaolin, tsvillaluenga, imayorals, jorge1414, danielparrillam, sergiosanchezch, javiermartinsanz, davidpatrizi, braisrodriguezmarigil, NLA45, Jaimemunoz07, sergiio99, JorgeOrtegaMateo, merodio1, diegomanzanogarijo5, dlera"
"A109";3128204;"tipos_avanzados_datos";"a109";66;"oscarperpinan, raquelcedazo, Juliauru, MPerezMateo, joaquinggi, fpadilla00, bmiguelez, alejandrodelmoral, sararodriguezfernandez, martinrteran, mecopedro, marcoslozanorodriguez, mlunad88, stellamoralsalguero, oscarrudek, victorrinconcalvo, RobertoMartinHurtado, mlsalto, davidmartinezprieto, miriamortegabustos, jacobsanchezmoreira, pablonhernandez, dzhou1999, angelsanzdiaz, teresaramirezharo, victorramosperez, weizheng13, azhou12, jreinosop99, fernandomarinraez, mlotruglio, lismunozfortea, ignacioortegap, guillermomlechuga, jlarjonilla, ssaetaa, mvinader, danielmdomingo, susanarincon, jaimepalominovaquero, nataliasanchezsanchez, rpleiter, danielsanchezg, amayore, RUANNN96, victorrodriguezsanchez, alvaroromerorodriguez, luispgonzalez, apmora, albertoperezarnal, zhanyaolin, tsvillaluenga, imayorals, jorge1414, danielparrillam, sergiosanchezch, javiermartinsanz, davidpatrizi, braisrodriguezmarigil, NLA45, Jaimemunoz07, sergiio99, JorgeOrtegaMateo, merodio1, diegomanzanogarijo5, dlera"
"A109";3128204;"punteros";"a109";66;"oscarperpinan, raquelcedazo, Juliauru, MPerezMateo, joaquinggi, fpadilla00, bmiguelez, alejandrodelmoral, sararodriguezfernandez, martinrteran, mecopedro, marcoslozanorodriguez, mlunad88, stellamoralsalguero, oscarrudek, victorrinconcalvo, RobertoMartinHurtado, mlsalto, davidmartinezprieto, miriamortegabustos, jacobsanchezmoreira, pablonhernandez, dzhou1999, angelsanzdiaz, teresaramirezharo, victorramosperez, weizheng13, azhou12, jreinosop99, fernandomarinraez, mlotruglio, lismunozfortea, ignacioortegap, guillermomlechuga, jlarjonilla, ssaetaa, mvinader, danielmdomingo, susanarincon, jaimepalominovaquero, nataliasanchezsanchez, rpleiter, danielsanchezg, amayore, RUANNN96, victorrodriguezsanchez, alvaroromerorodriguez, luispgonzalez, apmora, albertoperezarnal, zhanyaolin, tsvillaluenga, imayorals, jorge1414, danielparrillam, sergiosanchezch, javiermartinsanz, davidpatrizi, braisrodriguezmarigil, NLA45, Jaimemunoz07, sergiio99, JorgeOrtegaMateo, merodio1, diegomanzanogarijo5, dlera"
