"name";"id";"repo_name";"slug";"nMembers";"members"
"Adri&Ubeda";3153104;"twA104-adri-ubeda";"adri-ubeda";1;"guillermouberomero"
"Adrian&Jorge";3149167;"twA104-adrian-jorge";"adrian-jorge";2;"jorgefernandezjimenez11, ADRIANGDENIA"
"Alarmas Masther";3153108;"twA104-alarmas-masther";"alarmas-masther";1;"Marquitosss"
"COLACADO 2.0";3153112;"twA104-colacado-2-0";"colacado-2-0";1;"JPioGA"
"CarpioyJuan";3153101;"twA104-carpioyjuan";"carpioyjuan";1;"victorcarpiog"
"Cris&David";3140819;"twA104-cris-david";"cris-david";2;"EyezPT, dtertre59"
"Escanciano&Dani";3153146;"twA104-escanciano-dani";"escanciano-dani";1;"albertoescancianocabaneros"
"Fran&Alvaro";3153107;"twA104-fran-alvaro";"fran-alvaro";1;"Franciscomora"
"Gambling_Machine";3153110;"twA104-gambling_machine";"gambling_machine";2;"sdevargas, eazofra"
"Ismael&Mateo";3149165;"twA104-ismael-mateo";"ismael-mateo";2;"magustoni, ismaelfernandezdelacoteralorenzo"
"JAVICTOR";3153106;"twA104-javictor";"javictor";1;"victoraragonesp"
"JuanAndresyMarta";3142964;"twA104-juanandresymarta";"juanandresymarta";2;"juangperozo, mggallardo"
"Keepin'USafe";3153087;"twA104-keepin-usafe";"keepin-usafe";2;"guillermoapariciovoces, davidherguetasoto"
"Marcianitos.S.L";3153111;"twA104-marcianitos-s-l";"marcianitos-s-l";1;"luistorresdelnuevo"
"Mark&Patrick";3148127;"twA104-mark-patrick";"mark-patrick";1;"Markepelbaumg"
"Miguel&Pedro";3149104;"twA104-miguel-pedro";"miguel-pedro";0;""
"Morango's company";3157462;"twA104-morango-s-company";"morango-s-company";2;"vhgumiel, David2Santos"
"Nacho&Antonio";3153109;"twA104-nacho-antonio";"nacho-antonio";2;"idebenitog, antoniocasadohierro"
"Natalia&Dani";3153083;"twA104-natalia-dani";"natalia-dani";2;"nborlaf, danieldelacruzredondo"
"NoCraneNoGame";3153096;"twA104-nocranenogame";"nocranenogame";2;"maasensio, rodrigobatalfernandez"
"Raquel&Irene";3153078;"twA104-raquel-irene";"raquel-irene";1;"rgfranco2"
"Raquel&Miguel";3155649;"twA104-raquel-miguel";"raquel-miguel";1;"RaquelClementeB"
"Victor&Diego";3153116;"twA104-victor-diego";"victor-diego";1;"Diegocaparm"
"Where I can park???";3153161;"twA104-where-i-can-park";"where-i-can-park";1;"enriquehernandezmartinez"
"susana&jorge";3153124;"twA104-susana-jorge";"susana-jorge";1;"jorgegpamo1299"
"yago&barroso";3153097;"twA104-yago-barroso";"yago-barroso";2;"gbarrosof, sgalicia9"
"Óscar&Carlos";3153082;"twA104-oscar-carlos";"oscar-carlos";1;"omcabrera"
